n,block_type,rt,acc,stimulus,answer,correct_answer
0,experiment,2.8835176000138745,0,1.png,34.0,3.0
1,experiment,1.0195876999932807,0,2.png,4.0,15.0
2,experiment,2.970551499980502,0,3.png,10.5,10.5
