n,block_type,rt,acc,stimulus,answer,correct_answer
0,experiment,1.3569063000031747,0,1.png,3,3.0
1,experiment,0.8550985000038054,0,2.png,4,15.0
2,experiment,1.5394681000034325,1,3.png,10.5,10.5
3,experiment,1.1036210000165738,0,4.png,4,3.0
