n,block_type,rt,acc,stimulus,answer,correct_answer
0,experiment,1.434494299988728,1,1.png,3.0,3.0
1,experiment,1.953548600024078,-1,2.png,[],15.0
2,experiment,2.6043333999987226,1,3.png,10.5,10.5
